rowid,fred_id,claim_text_o,doi_o,link_o,doi_r,link_r,code_es_o,code_es_r,check_p_o,check_p_r,es_value_o,es_type_o,es_repr_o,pval_value_o,pval_type_o,pval_tails_o,es_value_r,es_type_r,es_repr_r,pval_value_r,pval_type_r,pval_tails_r
NA,additional_studies235,"Overall mental rotation RTs were approximately 85 msec slower in the dual-task condition than in the rotation-alone condition, resulting in a significant main effect of condition[F(1,14) = 8.38, p <.05].",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(1,14) = 8.38",test statistic,p. 2,0.05,l (<),NA (not reported),X2 (1) = 0.16,test statistics,p. 7,0.688,e (=),NA (not reported)
NA,additional_studies235,"""The rate of mental rotation (i.e., the slope of the function relating rotation angle to mean RT) was 530o/sec, and the main effect of rotation angle was significant [F(2,28) = 48.86, p < .001].""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 48.86",test statistic,p. 2,0.001,l (<),NA (not reported),X2 (1) = 1751.99,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""The rotation rate was nearly identical in the rotation-alone and dual-task conditions, and the condition rotation interaction did not approach significance (F < 1).""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 2,0.05,g (>),NA (not reported),X2 (1) = 19.94,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""Accuracy declined significantly as the rotation angle increased [F(2,28) = 13.19, p < .001]""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 13.19",test statistic,p. 2,0.001,l (<),NA (not reported),X2 (1) = 110.60,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""Accuracy declined significantly as the rotation angle increased[...] and the magnitude of this decline was greater for the dual-task condition than for the rotation-only condition, yielding a significant condition x rotation angle interaction [F(2,28) = 8.50, p < .01].""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 8.50",test statistic,p. 2,0.001,l (<),NA (not reported),X2 (1) = 1.17,test statistics,p. 7,0.279,e (=),NA (not reported)
NA,additional_studies235,"""Interference was also observed in the memory task. Specifically, memory accuracy was significantly lower in the dual-task condition than in the memory-alone condition [F(1,14) = 26.50, p < .001].""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(1,14) = 26.50",test statistic,p. 2,0.001,l (<),NA (not reported),X2 (1) = 80.36,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""Moreover, this effect became larger as the degree of rotation increased, yielding a significant condition rotation angle interaction [F(2,28) = 4.29, p < .05].""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 4.29",test statistic,p. 2,0.05,l (<),NA (not reported),X2 (1) = 2.35,test statistics,p. 7,0.125,e (=),NA (not reported)
NA,additional_studies235,"""However, neither mental rotation RT [...] showed a significant main effect of condition [...] (all Fs < 1).""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 0.73,test statistics,p. 7,0.392,e (=),NA (not reported)
NA,additional_studies235,"""The main effect of the degree of rotation was statistically significant for both mental rotation RT [F(2,28) = 67.9, p < .001]""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,"F(2, 28) = 67.9",test statistic,p. 3,0.001,l (<),NA (not reported),X2 (1) = 1440.54,test statistics,p. 7,0.001,l (<),NA (not reported)
NA,additional_studies235,"""However, neither mental rotation RT [...] showed a significant main effect [...] a significant interaction between condition and degree of rotation (all Fs < 1).""",10.3758/BF03194043,https://drive.google.com/file/d/1YQ-aufbsCC9hO3yxbHG5yT1hC8gC2Zwm/view?usp=drivesdk,10.3758/s13423-024-02602-4,https://drive.google.com/file/d/1vN437k1uq3kRGPmKBi6jr-KfvJ0C_JhT/view?usp=drivesdk,TRUE,TRUE,TRUE,TRUE,F < 1,test statistic,p. 4,0.05,g (>),NA (not reported),X2 (1) = 23.05,test statistics,p. 7,0.001,l (<),NA (not reported)
