"doi","abstract"
"10.1073/pnas.2103313118","Empirical audit and review is an approach to assessing the evidentiary value of a research area. It involves identifying a topic and selecting a cross-section of studies for replication. We apply the method to research on the psychological consequences of scarcity. Starting with the papers citing a seminal publication in the field, we conducted replications of 20 studies that evaluate the role of scarcity priming in pain sensitivity, resource allocation, materialism, and many other domains. There was considerable variability in the replicability, with some strong successes and other undeniable failures. Empirical audit and review does not attempt to assign an overall replication rate for a heterogeneous field, but rather facilitates researchers seeking to incorporate strength of evidence as they refine theories and plan new investigations in the research area. This method allows for an integration of qualitative and quantitative approaches to review and enables the growth of a cumulative science."
"10.1007/s40732-024-00597-x",NA
"10.1007/s13164-018-0400-9",NA
"10.1016/j.jesp.2015.10.012",NA
"bischoff_ma_bms",NA
"10.1371/journal.pone.0140570","Several studies indicate that infants prefer individuals who act prosocially over those who act antisocially toward unrelated third parties. In the present study, we focused on a paradigm published by Kiley Hamlin and Karen Wynn in 2011. In this study, infants were habituated to a live puppet show in which a protagonist tried to open a box to retrieve a toy placed inside. The protagonist was either helped by a second puppet (the ""Helper""), or hindered by a third puppet (the ""Hinderer""). At test, infants were presented with the Helper and the Hinderer, and encouraged to reach for one of them. In the original study, 75% of 9-month-olds selected the Helper, arguably demonstrating a preference for prosocial over antisocial individuals. We conducted two studies with the aim of replicating this result. Each attempt was performed by a different group of experimenters. Study 1 followed the methods of the published study as faithfully as possible. Study 2 introduced slight modifications to the stimuli and the procedure following the guidelines generously provided by Kiley Hamlin and her collaborators. Yet, in our replication attempts, 9-month-olds' preference for helpers over hinderers did not differ significantly from chance (62.5% and 50%, respectively, in Studies 1 and 2). Two types of factors could explain why our results differed from those of Hamlin and Wynn: minor methodological dissimilarities (in procedure, materials, or the population tested), or the effect size being smaller than originally assumed. We conclude that fine methodological details that are crucial to infants' success in this task need to be identified to ensure the replicability of the original result."
"10.1007/s00213-019-05314-z",NA
"10.5281/zenodo.6426882","Many educational reforms in the United States incorporated teacher qualifications into their design to better the quality of public education. However, research remains mixed as to whether teacher quality impacts student achievement. This study aimed to replicate a study prior to recent teacher education reforms to understand what differences exist, if any, in the relationships between teacher qualifications and elementary student achievement. A federal data source was used to examine school-, teacher-, and student-level variables on first grade reading and mathematics achievement. Results indicate that few school- and student-level variables relate to reading and mathematics achievement, yet no teacher-level predictors related to first grade achievement. The paper concludes with a discussion on similar studies and limitations. Keywords: replication; ECLS-K; teacher certification; teacher qualifications<br>"
"10.1016/j.jesp.2020.104066",NA
"10.1016/j.jsams.2024.07.018","Overall, we replicated the original study findings for the effect of maximal anaerobic fatigue on anterior reach distance in a Y-Balance Test."
"10.1080/0163853x.2024.2339738","Abstract: We adapted and evaluated the effects of a classroom intervention (extension&#13;\nof https://doi.org/10.1016/j.learninstruc.2018.04.006) on undergraduates’&#13;\nsourcing skills. Students (n = 266) received either a teacher-led intervention&#13;\n(trained group) or regular classes (control group) and were assessed before,&#13;\nafter, and 6 to 8 weeks after the intervention. Additionally, we included an&#13;\necological indicator: the quality of references in a high-stakes team essay.&#13;\nOverall, the intervention group outperformed controls in both post-tests:&#13;\nThey gave lower ratings for bad quality links and used source-based criteria&#13;\nmore often to select a text deemed as more reliable when reading two&#13;\nconflicting documents. They also included better quality references in their&#13;\nessays (i.e. references applying the targeted source dimensions) and avoided&#13;\nlesser quality ones (i.e. references overlooking those dimensions). No differences&#13;\nwere found in the mention of sources in a far transfer argumentation.&#13;\nWe discuss that the intervention improved students’ sourcing skills even in&#13;\nlong-term generalized tasks."
"osf.io/y2emk",NA
"10.1098/rsos.231240","Cumulative scientific progress requires empirical results that are robust enough to support theory construction and extension. Yet in psychology, some prominent findings have failed to replicate, and large-scale studies suggest replicability issues are widespread. The identification of predictors of replication success is limited by the difficulty of conducting large samples of independent replication experiments, however: most investigations reanalyse the same set of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mn>170</mml:mn> <mml:mo> </mml:mo> <mml:mrow> <mml:mi mathvariant=""normal"">replications</mml:mi> </mml:mrow> </mml:math> . We introduce a new dataset of 176 replications from students in a graduate-level methods course. Replication results were judged to be successful in 49% of replications; of the 136 where effect sizes could be numerically compared, 46% had point estimates within the prediction interval of the original outcome (versus the expected 95%). Larger original effect sizes and within-participants designs were especially related to replication success. Our results indicate that, consistent with prior reports, the robustness of the psychology literature is low enough to limit cumulative progress by student investigators."
"10.31234/osf.io/68jft","Corruption represents a complex problem firmly embedded within our societal structures, governments, and organisations. The current study aimed to build a clearer consensus on the extent to which perceptions of organisational corruption are associated with organisational hierarchy. Two high-powered close replications of studies 1c and 6 by Fath and Kay (2018) provide further evidence for the claim that taller organisational structures are associated with greater perceived potential for corruption, and that these perceptions may compromise subsequent trust-related behaviour. Our results reinforce the importance of organisational design and aim to inspire future works to consider the ways in which researchers and organisations can minimise corruption. Preregistration, data and materials can be found on the OSF: https://osf.io/zb5j2."
