"doi_o","doi_r","reason","detail"
"10.1016/j.im.2015.06.009","https://aisel.aisnet.org/trr/vol7/iss1/3","invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1038/ng.663",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/t79666-000",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.5210/bsi.v18i1.2292",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.evolhumbehav.2005.01.002",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0021524",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/0003-066x.60.5.410",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/0096-1523.1.3.288",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1177/0956797613508412",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/pspp0000113",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1017/xps.2018.6",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3982/ecta14370",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/jcr/ucw044",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s10683-016-9484-1",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0033009",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/per.2157",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.socscimed.2017.03.035",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/678035",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.worlddev.2015.10.037",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/sf/soy014",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0023937",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/rfs/hhr027",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3982/ecta8852",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jenvp.2013.09.003",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/per.1942",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.obhdp.2016.08.001",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.learninstruc.2014.12.001",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/676333",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s13524-013-0261-x",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1017/s0043887117000107",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3102/0002831214531323",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s11747-014-0373-x",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.cognition.2017.04.004",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1111/j.1540-6210.2011.02414.x",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/apl0000281",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3102/0013189x11422112",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/pspp0000031",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0037037",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s13524-012-0091-2",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1177/0014402918771337",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/job.598",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0037294",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.cedpsych.2014.03.004",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1177/0956797618756862",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/s0899-8256(03)00119-2",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s13524-012-0173-1",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/662130",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1257/app.3.1.239",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s10683-015-9436-1",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/680670",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1257/aer.100.4.1913",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1017/s0043887114000100",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1111/1745-9125.12151",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3102/0002831209340043",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.obhdp.2008.06.001",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jfineco.2008.12.008",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/per.853",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
NA,NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1073/pnas.2109373119",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jesp.2012.02.002",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s13524-016-0483-9",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.obhdp.2018.08.002",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.evolhumbehav.2018.06.004",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1111/j.1467-9280.2009.02447.x",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1509/jmr.14.0300",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1177/0956797611413935",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/job.697",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jbusres.2016.07.021",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.cognition.2016.03.003",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0027678",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1287/mnsc.1120.1650",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1017/s0003055409090066",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/a0019973",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1509/jm.16.0125",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.cognition.2009.08.005",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/670394",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s11747-009-0140-6",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s10683-008-9210-8",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1026//0949-3946.48.2.94",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1080/08941920802039804",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.3758/bf03206733",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jesp.2017.01.006",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1126/science.151.3712.837",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s11199-007-9195-3",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.im.2013.08.006",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1006/jmla.1996.0032",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/0883-9026(91)90005-x",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1257/aer.20201550",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
NA,NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1038/s41562-023-01655-0",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/ej/ueab096",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/restud/rdab056",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1177/0193723504273121",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/xge0000157",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1007/s10683-012-9342-8",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jesp.2015.11.008",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/esr/jcq033",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1509/jmkr.47.2.348",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1509/jmr.12.0430",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jesp.2010.11.006",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1002/per.2062",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1037/pspi0000065",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1016/j.jesp.2016.11.014",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.5465/amj.2016.0086",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1101/2020.03.30.20048090",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1101/2020.05.14.20093633",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1086/700235",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/restud/rdab087",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/restud/rdac011",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/restud/rdab043",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
"10.1093/qje/qjac001",NA,"invalid_identifier","doi_r is not a valid DOI and does not contain handle.net/"
